doctor_id,doctor_name,specialization,hospital,city,state
1,George Reyes,Cardiologist,Owens PLC Hospital,Bangalore,Karnataka
2,James Wilson,General Physician,Wilson Inc Hospital,Mumbai,Maharashtra
3,Robert Mcdonald,General Physician,Walker Ltd Hospital,Bangalore,Karnataka
4,Haley Wang,Diabetologist,Cantu PLC Hospital,Pune,Maharashtra
5,Christine Rhodes,Dermatologist,"Richardson, Tucker and Hughes Hospital",Delhi,Delhi
6,Katie Jimenez,Cardiologist,Molina-Wilson Hospital,Mumbai,Maharashtra
7,Terri Price,Neurologist,Salazar Inc Hospital,Bangalore,Karnataka
8,Christopher Freeman,Gynecologist,"Davis, Moreno and Berg Hospital",Bangalore,Karnataka
9,April Gates,Cardiologist,Pham Group Hospital,Mumbai,Maharashtra
10,Nathan Schmidt,Neurologist,"Reynolds, Parker and Harrison Hospital",Hyderabad,Telangana
11,Kathryn Monroe,Diabetologist,"Davis, Bonilla and Harris Hospital",Hyderabad,Telangana
12,Cassie Wells,Cardiologist,Bonilla-Padilla Hospital,Pune,Maharashtra
13,Kristina Russell,Cardiologist,Smith Group Hospital,Bangalore,Karnataka
14,Sarah Williams,Diabetologist,Ross Inc Hospital,Pune,Maharashtra
15,Jeffrey Marshall,Cardiologist,Lewis-Davis Hospital,Hyderabad,Telangana
16,James Harris DDS,Diabetologist,Howard Ltd Hospital,Bangalore,Karnataka
17,Tina Martinez,Neurologist,Acosta Ltd Hospital,Chennai,Tamil Nadu
18,Stephen Robbins,Gynecologist,Myers and Sons Hospital,Hyderabad,Telangana
19,Kathryn Rodriguez,Orthopedic,House-Reynolds Hospital,Hyderabad,Telangana
20,Dr. Edward Joyce,Cardiologist,Taylor-Hill Hospital,Chennai,Tamil Nadu
21,Thomas Taylor,Cardiologist,Cross PLC Hospital,Chennai,Tamil Nadu
22,Patrick Robinson,General Physician,Ray PLC Hospital,Hyderabad,Telangana
23,Christina Short,Gynecologist,"Nash, Lyons and White Hospital",Mumbai,Maharashtra
24,Ashley Schwartz,Orthopedic,Olson-Wiley Hospital,Delhi,Delhi
25,Timothy Baker,General Physician,Porter-Flores Hospital,Hyderabad,Telangana
26,Katherine Sawyer,General Physician,Bishop Group Hospital,Bangalore,Karnataka
27,Angela Lester,Gynecologist,Lewis-Stanton Hospital,Mumbai,Maharashtra
28,Miss Jessica Webb DVM,Neurologist,Welch Ltd Hospital,Hyderabad,Telangana
29,Isaiah Martinez,Orthopedic,"Frye, Hanson and Perez Hospital",Mumbai,Maharashtra
30,Robert Rios,Cardiologist,Flowers-Moore Hospital,Bangalore,Karnataka
31,Melissa Rodriguez,Neurologist,"Snyder, Lee and Walker Hospital",Delhi,Delhi
32,Julie Briggs,Gynecologist,"Jackson, Townsend and Rose Hospital",Delhi,Delhi
33,Ellen Dennis,Diabetologist,Wilson Inc Hospital,Mumbai,Maharashtra
34,Chad Crosby,Diabetologist,Barrett-Gibson Hospital,Mumbai,Maharashtra
35,Alexandra Davis,Diabetologist,"Hutchinson, Christensen and Hall Hospital",Bangalore,Karnataka
36,Sandra Walter,Neurologist,Hall and Sons Hospital,Delhi,Delhi
37,Cassandra Neal,Dermatologist,"Smith, Burton and Nelson Hospital",Delhi,Delhi
38,Jason Hood,Orthopedic,Williams LLC Hospital,Mumbai,Maharashtra
39,Douglas Campbell,Cardiologist,Bishop-Smith Hospital,Hyderabad,Telangana
40,Kenneth Wolfe,General Physician,White Ltd Hospital,Pune,Maharashtra
41,Nicole Crawford,Diabetologist,Salinas Inc Hospital,Pune,Maharashtra
42,Amber Graham,Dermatologist,"Sawyer, Cobb and Davenport Hospital",Pune,Maharashtra
43,Erik Arellano,Diabetologist,"Roberts, Robinson and Reed Hospital",Mumbai,Maharashtra
44,Alexander Farley,General Physician,Payne-Ramos Hospital,Bangalore,Karnataka
45,Shelly Robertson,Diabetologist,Rogers-Wood Hospital,Delhi,Delhi
46,Michele Gomez,Orthopedic,"Ortega, Edwards and Sims Hospital",Mumbai,Maharashtra
47,Richard Soto,Gynecologist,"Johnson, Jones and Salinas Hospital",Hyderabad,Telangana
48,Seth Green,Dermatologist,Wilkinson Group Hospital,Chennai,Tamil Nadu
49,Tracy Barrett DVM,Orthopedic,May-Miller Hospital,Bangalore,Karnataka
50,Mark Griffin,Diabetologist,Smith PLC Hospital,Hyderabad,Telangana
51,Mark Hoffman,Cardiologist,"Rice, Bennett and Murray Hospital",Hyderabad,Telangana
52,Adam Osborne,General Physician,"Taylor, Stephens and Ferrell Hospital",Mumbai,Maharashtra
53,Paula Charles,Cardiologist,Newman and Sons Hospital,Chennai,Tamil Nadu
54,Shannon Becker,Orthopedic,"Lewis, Ross and Quinn Hospital",Pune,Maharashtra
55,Lauren Guzman,General Physician,Miller-Nguyen Hospital,Mumbai,Maharashtra
56,Donald Lane,Gynecologist,Duran Ltd Hospital,Pune,Maharashtra
57,Roger Mccall,Gynecologist,Cox Inc Hospital,Mumbai,Maharashtra
58,Joan Blackburn,Orthopedic,Miller and Sons Hospital,Chennai,Tamil Nadu
59,Richard Lopez,Diabetologist,Smith-Stanley Hospital,Chennai,Tamil Nadu
60,Elizabeth Sparks,Diabetologist,Neal Ltd Hospital,Chennai,Tamil Nadu
61,John Reyes,Orthopedic,Gross-Nelson Hospital,Delhi,Delhi
62,Jeff Morris,Neurologist,"Mejia, Robinson and Fernandez Hospital",Chennai,Tamil Nadu
